date;sandp;ford;ge;microsoft;oracle;ustb3m
mar/06;1302,88;7,96;34,78;27,21;13,69;4,63
abr/06;1310,61;6,95;34,59;24,15;14,59;4,72
mai/06;1270,05;7,16;34,26;22,65;14,22;4,84
jun/06;1270,06;6,93;32,96;23,30;14,49;4,92
jul/06;1278,53;6,67;32,69;24,06;14,97;5,08
ago/06;1303,80;8,37;34,06;25,70;15,66;5,09
set/06;1335,82;8,09;35,30;27,35;17,74;4,93
out/06;1377,76;8,28;35,11;28,71;18,47;5,05
nov/06;1400,63;8,13;35,28;29,36;19,05;5,07
dez/06;1418,03;7,51;37,21;29,86;17,14;4,97
jan/07;1437,90;8,13;36,05;30,86;17,16;5,11
fev/07;1406,80;7,91;34,91;28,17;16,43;5,16
mar/07;1420,83;7,89;35,36;27,87;18,13;5,08
abr/07;1482,37;8,04;36,86;29,94;18,80;5,01
mai/07;1530,62;8,34;37,58;30,69;19,38;4,87
jun/07;1504,66;9,42;38,28;29,47;19,71;4,74
jul/07;1455,18;8,51;38,76;28,99;19,12;4,96
ago/07;1473,96;7,81;38,87;28,73;20,28;4,32
set/07;1527,29;8,49;41,40;29,46;21,65;3,99
out/07;1545,79;8,87;41,16;36,81;22,17;4,00
nov/07;1479,63;7,51;38,29;33,60;20,18;3,35
dez/07;1467,97;6,73;37,07;35,60;22,58;3,07
jan/08;1378,60;6,64;35,36;32,60;20,55;2,82
fev/08;1330,45;6,53;33,14;27,20;18,80;2,17
mar/08;1326,41;5,72;37,01;28,38;19,56;1,28
abr/08;1385,97;8,26;32,70;28,52;20,85;1,31
mai/08;1399,62;6,80;30,72;28,32;22,84;1,76
jun/08;1276,69;4,81;26,69;27,51;21,00;1,89
jul/08;1269,42;4,80;28,29;25,72;21,53;1,66
ago/08;1287,83;4,46;28,10;27,29;21,93;1,75
set/08;1164,17;5,20;25,50;26,69;20,31;1,15
out/08;968,67;2,19;19,51;22,33;18,29;0,69
nov/08;888,61;2,69;17,17;20,22;16,09;0,19
dez/08;902,99;2,29;16,20;19,44;17,73;0,03
jan/09;823,09;1,87;12,13;17,10;16,83;0,13
fev/09;729,57;2,00;8,51;16,15;15,54;0,30
mar/09;793,59;2,63;10,11;18,37;18,07;0,22
abr/09;872,74;5,98;12,65;20,26;19,34;0,16
mai/09;923,26;5,75;13,48;20,89;19,59;0,18
jun/09;920,82;6,07;11,72;23,77;21,42;0,18
jul/09;990,22;8,00;13,40;23,52;22,13;0,18
ago/09;1019,52;7,60;13,90;24,65;21,88;0,17
set/09;1054,91;7,21;16,42;25,72;20,84;0,12
out/09;1036,18;7,00;14,26;27,73;21,10;0,07
nov/09;1098,89;8,89;16,02;29,41;22,08;0,05
dez/09;1116,56;10,00;15,13;30,48;24,53;0,05
jan/10;1073,89;10,84;16,08;28,18;23,06;0,06
fev/10;1105,36;11,74;16,06;28,67;24,65;0,11
mar/10;1171,23;12,57;18,20;29,29;25,71;0,15
abr/10;1188,58;13,02;18,86;30,54;25,87;0,16
mai/10;1087,30;11,73;16,35;25,80;22,57;0,16
jun/10;1031,10;10,08;14,42;23,01;21,46;0,12
jul/10;1107,53;12,77;16,12;25,81;23,64;0,16
ago/10;1049,72;11,29;14,48;23,47;21,84;0,16
set/10;1143,49;12,24;16,25;24,49;26,85;0,15
out/10;1185,71;14,13;16,02;26,67;29,38;0,13
nov/10;1186,60;15,94;15,83;25,26;27,05;0,14
dez/10;1257,62;16,79;18,29;27,91;31,30;0,14
jan/11;1289,14;15,95;20,14;27,73;32,03;0,15
fev/11;1328,64;15,05;20,92;26,58;32,90;0,13
mar/11;1329,48;14,91;20,05;25,39;33,43;0,10
abr/11;1365,21;15,47;20,45;25,92;35,96;0,06
mai/11;1345,20;14,92;19,64;25,01;34,22;0,04
jun/11;1320,64;13,79;18,86;26,00;32,91;0,04
jul/11;1292,59;12,21;17,91;27,40;30,58;0,04
ago/11;1219,12;11,12;16,31;26,60;28,07;0,02
set/11;1131,21;9,67;15,22;24,89;28,74;0,01
out/11;1251,00;11,68;16,71;26,63;32,77;0,02
nov/11;1246,91;10,60;15,91;25,58;31,35;0,01
dez/11;1258,86;10,76;17,91;25,96;25,65;0,01
jan/12;1312,45;12,42;18,71;29,53;28,21;0,03
fev/12;1365,90;12,38;19,05;31,74;29,25;0,09
mar/12;1408,47;12,48;20,07;32,26;29,16;0,08
abr/12;1397,86;11,28;19,58;32,02;29,40;0,08
mai/12;1309,87;10,56;19,09;29,19;26,47;0,09
jun/12;1362,33;9,59;20,84;30,59;29,70;0,09
jul/12;1379,32;9,24;20,75;29,47;30,20;0,10
ago/12;1406,54;9,34;20,71;30,82;31,65;0,10
set/12;1440,90;9,86;22,71;29,76;31,46;0,11
out/12;1412,20;11,16;21,06;28,54;31,08;0,10
nov/12;1416,34;11,45;21,13;26,62;32,18;0,09
dez/12;1426,19;12,95;20,99;26,71;33,32;0,07
jan/13;1498,11;12,95;22,28;27,45;35,51;0,07
fev/13;1514,68;12,61;23,22;27,80;34,24;0,10
mar/13;1569,18;13,15;23,12;28,61;32,33;0,09
abr/13;1597,55;13,71;22,29;33,10;32,78;0,06
mai/13;1631,71;15,68;23,32;34,90;33,78;0,04
jun/13;1609,78;15,47;23,19;34,54;30,71;0,05
jul/13;1689,42;16,88;24,37;31,84;32,35;0,04
ago/13;1635,95;16,19;23,14;33,40;31,86;0,04
set/13;1682,41;16,87;23,89;33,28;33,17;0,02
out/13;1758,70;17,11;26,14;35,41;33,50;0,05
nov/13;1806,55;17,08;26,66;38,13;35,29;0,07
dez/13;1845,86;15,43;28,03;37,41;38,26;0,07
jan/14;1782,68;14,96;25,13;37,84;36,90;0,04
fev/14;1857,68;15,39;25,47;38,31;39,11;0,05
mar/14;1873,96;15,60;25,89;40,99;40,91;0,05
abr/14;1884,39;16,15;26,89;40,40;40,88;0,03
mai/14;1923,87;16,44;26,79;40,94;42,02;0,03
jun/14;1962,29;17,24;26,28;41,70;40,53;0,04
jul/14;1929,80;17,02;25,15;43,16;40,39;0,03
ago/14;2004,07;17,41;25,98;45,43;41,53;0,03
set/14;1971,44;14,79;25,62;46,36;38,28;0,02
out/14;2018,21;14,09;25,81;46,95;39,05;0,02
nov/14;2065,78;15,73;26,49;47,81;42,41;0,02
dez/14;2058,90;15,50;25,27;46,45;44,97;0,03
jan/15;1996,67;14,71;23,89;40,40;41,89;0,03
fev/15;2105,23;16,34;25,99;43,85;43,82;0,02
mar/15;2067,63;16,14;24,81;40,66;43,15;0,03
abr/15;2087,38;15,80;27,08;48,64;43,62;0,02
mai/15;2108,64;15,17;27,27;46,86;43,49;0,02
jun/15;2067,00;15,01;26,57;44,15;40,30;0,02
jul/15;2104,49;14,83;26,10;46,70;39,94;0,03
ago/15;1970,09;13,87;25,01;43,52;37,09;0,07
set/15;1919,65;13,57;25,22;44,26;36,12;0,02
out/15;2080,76;14,81;28,92;52,64;38,84;0,02
nov/15;2082,93;14,33;29,94;54,35;38,97;0,13
dez/15;2038,20;14,09;31,15;55,48;36,53;0,23
jan/16;1936,94;11,94;29,10;55,09;36,31;0,26
fev/16;1937,09;12,51;29,14;50,88;36,78;0,31
mar/16;2056,62;13,50;31,79;55,23;40,91;0,30
abr/16;2067,17;13,56;30,75;49,87;39,86;0,23
mai/16;2093,94;13,49;30,23;53,00;40,20;0,28
jun/16;2099,34;12,57;31,48;51,17;40,93;0,27
jul/16;2173,15;12,66;31,14;56,68;41,04;0,30
ago/16;2171,33;12,60;31,24;57,46;41,22;0,30
set/16;2164,33;12,07;29,62;57,60;39,28;0,29
out/16;2128,68;11,74;29,10;59,92;38,42;0,33
nov/16;2200,17;11,96;30,76;60,26;40,19;0,45
dez/16;2251,57;12,13;31,60;62,14;38,45;0,51
jan/17;2285,59;12,36;29,70;64,65;40,11;0,52
fev/17;2380,13;12,53;29,81;63,98;42,59;0,53
mar/17;2362,34;11,64;29,80;65,86;44,61;0,75
abr/17;2388,50;11,47;28,99;68,46;44,96;0,81
mai/17;2415,65;11,12;27,38;69,84;45,39;0,90
jun/17;2431,39;11,19;27,01;68,93;50,14;1,00
jul/17;2477,10;11,22;25,61;72,70;49,93;1,09
ago/17;2474,42;11,03;24,55;74,77;50,33;1,03
set/17;2521,20;11,97;24,18;74,49;48,35;1,05
out/17;2583,21;12,27;20,16;83,18;50,90;1,09
nov/17;2645,10;12,52;18,29;84,17;49,06;1,25
dez/17;2683,73;12,49;17,45;85,54;47,28;1,34
jan/18;2816,45;10,97;16,17;95,01;51,59;1,43
fev/18;2715,22;10,61;14,11;93,77;50,67;1,59
